[ESCENARIO]
Titulo;Capture the Bridge
Turnos;4
Norte;N
Despliega_primero;German
Mueve_primero;American
Descripcion;Infantry Training Scenario. As Americans moved into Germany in 1945, they encountered small pockets of fanatics intent on destroying infrastructure. The 101st rushes a bridge before it can be blown up. Only Squads, a Decoy, and an MG Weapon Team are used.
Victoria;The American player wins if at game end he controls the bridge hex (5E5) AND is the sole occupant of building hex 5B5.

[ALIADOS]
Faccion;American
Ops_rango;1-2
Puntos_comando;1
Ruta_huida;W
Despliegue_inicial;Turn 1: All Allied units enter the West edge of the map.
Despliegue_alternativo;

[EJE]
Faccion;German
Ops_rango;1-2
Puntos_comando;1
Ruta_huida;E
Despliegue_inicial;At start: in any hex East of the canal.
Despliegue_alternativo;The German player may secretly exchange his MG WT for a second Decoy. If he does so, the game length becomes THREE turns (the American player will not be aware of this until the second Decoy is revealed).

[UNIDADES_ALIADOS]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
Paratrooper Squad;squad;NO;16;4;1
Paratrooper MG;wt_mg;NO;3;1;1

[UNIDADES_EJE]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
2nd Line;squad;NO;10;2;1
1st Line MG WT;wt_mg;NO;3;1;1
1st Line DECOY;decoy;NO;8;1;1

[UNIDADES_NEUTRALES]
Tipo;Fichas_escenario;Turno_entrada;Prof;Acc

[MAPA]
Coordenada;Terreno;Elevacion;Upper_Level;Fortificacion;Lado_N;Lado_NE;Lado_SE;Lado_S;Lado_SW;Lado_NW;Col;Row
5I9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;1
5I8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;2
5I7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;3
5I6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;4
5I5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;5
5I4;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;6
5I3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;7
5I2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;8
5I1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;9
5H9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;0
5H8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;1
5H7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;2
5H6;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;3
5H5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;4
5H4;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;5
5H3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;6
5H2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;7
5H1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;8
5H0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;9
5G9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;1
5G8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;2
5G7;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;3
5G6;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;4
5G5;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;5
5G4;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;6
5G3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;7
5G2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;8
