[ESCENARIO]
Titulo;Day of Days
Turnos;5
Norte;N
Despliega_primero;German
Mueve_primero;American
Descripcion;Southwest of Utah Beach, June 6th, 1944. The 101st Airborne is dropped before the Normandy landings but the drop goes badly. Units scattered widely, and elements of the 506th must capture the causeways off Utah Beach.
Victoria;The American player wins if he exits at least 4 squads off the East edge of the map by the end of turn 5. Otherwise the German player wins.

[ALIADOS]
Faccion;American
Ops_rango;1-3
Puntos_comando;1
Ruta_huida;W
Despliegue_inicial;All American units enter the West edge of the game board on turn 1.
Despliegue_alternativo;

[EJE]
Faccion;German
Ops_rango;1-2
Puntos_comando;1
Ruta_huida;E
Despliegue_inicial;Group 1: set up in any hex with the number 3 or 4. Group 2: set up in any hex with the number 5 or 6.
Despliegue_alternativo;

[UNIDADES_ALIADOS]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
Paratrooper Squad;squad;NO;16;3;1
Paratrooper Squad;squad;SI;16;3;1

[UNIDADES_EJE]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
2nd Line;squad;NO;10;4;1
1st Line DECOY;decoy;NO;8;4;1

[UNIDADES_NEUTRALES]
Tipo;Fichas_escenario;Turno_entrada;Prof;Acc

[MAPA]
Coordenada;Terreno;Elevacion;Upper_Level;Fortificacion;Lado_NE;Lado_E;Lado_SE;Lado_SW;Lado_W;Lado_NW;Col;Row
8H0;TERRENO ABIERTO;0;NO;NINGUNA;NO;SI;NO;NO;NO;NO;0;1
8F0;TERRENO ABIERTO;0;NO;NINGUNA;NO;SI;NO;NO;NO;NO;0;2
8D0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;3
8B0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;4
8I1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;SI;NO;NO;NO;1;0
8G1;TERRENO ABIERTO;0;NO;NINGUNA;SI;SI;SI;NO;NO;NO;1;1
8E1;CARRETERA;0;NO;NINGUNA;SI;NO;NO;NO;NO;NO;1;2
8C1;CARRETERA;0;NO;NINGUNA;NO;SI;NO;NO;NO;NO;1;3
8A1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;4
8H1;TERRENO ABIERTO;0;NO;NINGUNA;SI;NO;NO;SI;SI;SI;2;1
8F1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;SI;SI;SI;SI;2;2
8D1;CARRETERA;0;NO;NINGUNA;NO;SI;SI;NO;NO;NO;2;3
8B1;CARRETERA;0;NO;NINGUNA;SI;NO;NO;NO;NO;NO;2;4
8I2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;SI;SI;NO;NO;3;0
8G2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;SI;NO;3;1
8E2;CARRETERA;0;NO;NINGUNA;SI;NO;SI;NO;NO;SI;3;2
8C2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;SI;SI;SI;SI;3;3
8A2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;4
8H2;TERRENO ABIERTO;0;NO;NINGUNA;SI;SI;NO;NO;NO;SI;4;1
8F2;TERRENO ABIERTO;0;NO;NINGUNA;NO;SI;SI;SI;NO;NO;4;2
