[ESCENARIO]
Titulo;So Few Led by So Many
Turnos;7
Norte;N
Despliega_primero;German
Mueve_primero;American
Descripcion;Pouppeville, France, June 6th, 1944. The 3rd battalion of the 501st, with General Taylor and only 40 assembled men (many of them officers), must take Causeway 1 and eliminate the German garrison.
Victoria;The American player wins by eliminating all of the German combat units by the end of turn 7. Otherwise the German player wins.

[ALIADOS]
Faccion;American
Ops_rango;2-5
Puntos_comando;5
Ruta_huida;W
Despliegue_inicial;All American units start set up anywhere on board 10.
Despliegue_alternativo;

[EJE]
Faccion;German
Ops_rango;3-4
Puntos_comando;2
Ruta_huida;E
Despliegue_inicial;All German units start set up anywhere on board 1.
Despliegue_alternativo;The German player may exchange 3 2nd Line Squads for 2 1st Line Squads and 1 1st Line DECOY.

[UNIDADES_ALIADOS]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
Paratrooper Squad;squad;NO;16;6;1
Paratrooper Squad;squad;SI;16;2;1
Paratrooper MG;wt_mg;NO;3;1;1

[UNIDADES_EJE]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
2nd Line;squad;NO;10;7;1
1st Line DECOY;decoy;NO;8;4;1

[UNIDADES_NEUTRALES]
Tipo;Fichas_escenario;Turno_entrada;Prof;Acc

[MAPA]
Coordenada;Terreno;Elevacion;Upper_Level;Fortificacion;Lado_NE;Lado_E;Lado_SE;Lado_SW;Lado_W;Lado_NW;Col;Row
10B9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;1
10D9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;2
10F9;TERRENO ABIERTO;0;NO;NINGUNA;NO;SI;NO;NO;NO;NO;0;3
10H9;TERRENO ABIERTO;0;NO;NINGUNA;NO;SI;NO;NO;NO;NO;0;4
10A9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;0
10C9;CARRETERA;0;NO;NINGUNA;NO;SI;NO;NO;NO;NO;1;1
10E9;CARRETERA;0;NO;NINGUNA;NO;SI;SI;NO;NO;NO;1;2
10G9;TERRENO ABIERTO;0;NO;NINGUNA;SI;SI;SI;NO;NO;NO;1;3
10I9;TERRENO ABIERTO;0;NO;NINGUNA;SI;NO;NO;NO;NO;NO;1;4
10B8;CARRETERA;0;NO;NINGUNA;NO;NO;SI;NO;NO;NO;2;1
10D8;CARRETERA;0;NO;NINGUNA;SI;SI;SI;NO;NO;NO;2;2
10F8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;SI;SI;SI;SI;2;3
10H8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;SI;SI;SI;SI;2;4
10A8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;0
10C8;TERRENO ABIERTO;0;NO;NINGUNA;SI;NO;NO;SI;SI;SI;3;1
