[ESCENARIO]
Titulo;Easy Peasy
Turnos;6
Norte;NW
Despliega_primero;German
Mueve_primero;American
Descripcion;Carentan, 12 de junio de 1944. Las fuerzas aerotransportadas debían ser fuerzas de élite utilizadas pocos días antes de ser retiradas. Elementos del 2.º y 3.er Batallón del 506.º PIR atacaron Carentán desde el suroeste para enlazar las playas de Utah y Omaha. El coronel von der Heydte tomó la fatídica decisión de retirarse dejando solo una pequeña retaguardia. El teniente Winters, al mando de Easy Company, logró impulsar a sus hombres bajo el fuego de las ametralladoras alemanas para tomar la ciudad. Resultó ser relativamente "fácil".
Victoria;El jugador americano gana si elimina todas las unidades de combate alemanas al final del turno 6. En caso contrario, gana el jugador alemán.

[ALIADOS]
Faccion;American
Ops_rango;2-5
Puntos_comando;3
Ruta_huida;SW
Despliegue_inicial;Todas las unidades americanas se despliegan en cualquier hex completo del mapa 4.
Despliegue_alternativo;

[EJE]
Faccion;German
Ops_rango;3-4
Puntos_comando;1
Ruta_huida;NE
Despliegue_inicial;Todas las unidades alemanas se despliegan en cualquier hex del mapa 3.
Despliegue_alternativo;El jugador alemán puede cambiar 2 Decoys por 2 escuadras más, pero no recibe apoyo de artillería.

[UNIDADES_ALIADOS]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
Paratrooper Squad;squad;NO;16;8;1
Paratrooper w/ Bazooka;squad;NO;5;2;1
Paratrooper MG;wt_mg;NO;3;2;1

[UNIDADES_EJE]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
1st Line;squad;NO;20;4;1
1st Line MG WT;wt_mg;NO;3;1;1
1st Line DECOY;decoy;NO;8;4;1

[UNIDADES_NEUTRALES]
Tipo;Fichas_escenario;Turno_entrada;Prof;Acc
Artillería 80mm;1;3;7;9

[MAPA]
Coordenada;Terreno;Elevacion;Upper_Level;Fortificacion;Lado_NE;Lado_E;Lado_SE;Lado_SW;Lado_W;Lado_NW;Col;Row
3B9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;1
3D9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;2
3F9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;3
3H9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;4
4B9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;5
4D9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;6
4F9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;7
4H9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;8
3A9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;0
3C9;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;1
3E9;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;2
3G9;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;3
3I9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;4
4C9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;5
4E9;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;6
4G9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;7
4I9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;8
3B8;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;1
3D8;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;2
3F8;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;3
3H8;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;4
4B8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;5
4D8;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;6
4F8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;7
4H8;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;8
3A8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;0
3C8;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;1
3E8;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;2
3G8;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;3
3I8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;4
4C8;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;5
4E8;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;6
4G8;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;7
4I8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;8
3B7;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;1
3D7;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;2
3F7;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;3
3H7;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;4
4B7;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;5
4D7;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;6
4F7;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;7
4H7;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;8
3A7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;0
3C7;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;1
3E7;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;2
3G7;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;3
3I7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;4
4C7;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;5
4E7;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;6
4G7;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;7
4I7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;8
3B6;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;1
3D6;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;2
3F6;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;3
3H6;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;4
4B6;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;5
4D6;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;6
4F6;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;7
4H6;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;8
3A6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;0
3C6;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;1
3E6;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;2
3G6;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;3
3I6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;4
4C6;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;5
4E6;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;6
4G6;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;7
4I6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;8
3B5;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;1
3D5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;2
3F5;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;3
3H5;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;4
4B5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;5
4D5;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;6
4F5;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;7
4H5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;8
3A5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;9;0
3C5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;9;1
3E5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;9;2
3G5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;9;3
3I5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;9;4
4C5;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;9;5
4E5;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;9;6
4G5;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;9;7
4I5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;9;8
3B4;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;10;1
3D4;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;10;2
3F4;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;10;3
3H4;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;10;4
4B4;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;10;5
4D4;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;10;6
4F4;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;10;7
4H4;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;10;8
3A4;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;11;0
3C4;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;11;1
3E4;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;11;2
3G4;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;11;3
3I4;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;11;4
4C4;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;11;5
4E4;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;11;6
4G4;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;11;7
4I4;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;11;8
3B3;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;12;1
3D3;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;12;2
3F3;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;12;3
3H3;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;12;4
4B3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;12;5
4D3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;12;6
4F3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;12;7
4H3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;12;8
3A3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;13;0
3C3;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;13;1
3E3;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;13;2
3G3;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;13;3
3I3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;13;4
4C3;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;13;5
4E3;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;13;6
