[ESCENARIO]
Titulo;The Battle of Bloody Gulch
Turnos;10
Norte;N
Despliega_primero;American
Mueve_primero;German
Descripcion;Exterior de Carentan, 13 de junio de 1944. Los alemanes reforzados por la 17.ª División Panzer Granaderos SS lanzaron un contraataque mientras el 2.º Batallón del 506.º PIR salía de Carentan al amanecer. Ambos bandos se habían atrincherado durante la noche. Fox Company, en el flanco izquierdo de Easy, fue desbordada bajo la intensa presión alemana. A pesar de ello, Easy aguantó durante horas hasta que los refuerzos de la 2.ª División Acorazada llegaron con sus Sherman. La visión de los tanques atravesando las líneas enemigas cambió el curso de la batalla. Winters describiría este combate como el momento más difícil de toda la guerra.
Victoria;El jugador alemán gana si tiene 5 escuadras en edificios del mapa 3 en cualquier momento. En caso contrario, gana el jugador americano.

[ALIADOS]
Faccion;American
Ops_rango;2-5
Puntos_comando;3
Ruta_huida;S
Despliegue_inicial;Todas las unidades americanas se despliegan en el mapa 8 filas E y Sur, y en el mapa 10 filas F y Sur.
Despliegue_alternativo;El jugador americano puede cambiar 1 Escuadra Bazooka por 1 Decoy y recibir 1 M4A1 menos, con sus refuerzos de blindados entrando en el turno 7.

[EJE]
Faccion;German
Ops_rango;3-4
Puntos_comando;1
Ruta_huida;N
Despliegue_inicial;Todas las unidades alemanas se despliegan en los mapas 8 y 10, fila I.
Despliegue_alternativo;El jugador alemán puede eliminar 1 escuadra de primera línea para aumentar la Proficiencia de su artillería de 80mm a 6.

[UNIDADES_ALIADOS]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
Paratrooper Squad;squad;NO;16;6;1
Paratrooper w/ Bazooka;squad;NO;5;3;1
Paratrooper MG;wt_mg;NO;3;2;1
Paratrooper Mortar;wt_mortar;NO;3;2;1
Paratrooper DECOY;decoy;NO;9;4;1
M4A1;vehicle;NO;3;3;8
M4A3 (76);vehicle;NO;6;4;8

[UNIDADES_EJE]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
1st Line;squad;NO;20;9;1
2nd Line;squad;NO;10;7;1
1st Line MG WT;wt_mg;NO;3;2;1
2nd Line MG WT;wt_mg;NO;3;1;1
Mortar WT;wt_mortar;NO;1;1;1
Stug IIIG;vehicle;NO;4;4;3

[UNIDADES_NEUTRALES]
Tipo;Fichas_escenario;Turno_entrada;Prof;Acc
Foxhole;21;1;0;0
Artillería 80mm;1;1;7;8
Artillería 80mm;1;3;5;6
Artillería 100mm;1;3;5;6

[MAPA]
Coordenada;Terreno;Elevacion;Upper_Level;Fortificacion;Lado_NE;Lado_E;Lado_SE;Lado_SW;Lado_W;Lado_NW;Col;Row
10H0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;1
10F0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;2
10D0;TERRENO ABIERTO;0;NO;NINGUNA;NO;SI;NO;NO;NO;NO;0;3
10B0;TERRENO ABIERTO;0;NO;NINGUNA;NO;SI;NO;NO;NO;NO;0;4
4H0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;5
4F0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;6
4D0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;7
4B0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;8
10I1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;0
10G1;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;1
10E1;CARRETERA;0;NO;NINGUNA;NO;SI;SI;NO;NO;NO;1;2
10C1;TERRENO ABIERTO;0;NO;NINGUNA;SI;SI;SI;NO;NO;NO;1;3
10A1;TERRENO ABIERTO;0;NO;NINGUNA;SI;NO;NO;NO;NO;NO;1;4
4G1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;5
4E1;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;6
4C1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;7
4A1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;8
10H1;EDIF. PIEDRA;0;NO;NINGUNA;NO;SI;NO;NO;NO;NO;2;1
10F1;CARRETERA;0;NO;NINGUNA;NO;SI;SI;NO;NO;NO;2;2
10D1;TERRENO ABIERTO;0;NO;NINGUNA;SI;NO;NO;SI;SI;SI;2;3
10B1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;SI;SI;SI;SI;2;4
4H1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;5
4F1;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;6
4D1;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;7
4B1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;8
10I2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;SI;NO;NO;NO;3;0
10G2;EDIF. PIEDRA;0;NO;NINGUNA;SI;SI;SI;NO;NO;NO;3;1
10E2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;SI;SI;SI;SI;3;2
10C2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;SI;NO;3;3
10A2;TERRENO ABIERTO;0;NO;NINGUNA;SI;NO;NO;NO;NO;SI;3;4
4G2;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;5
4E2;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;6
4C2;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;7
4A2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;8
10H2;TERRENO ABIERTO;0;NO;NINGUNA;SI;NO;NO;SI;SI;SI;4;1
10F2;TERRENO ABIERTO;0;NO;NINGUNA;SI;NO;NO;NO;SI;SI;4;2
10D2;TERRENO ABIERTO;0;NO;NINGUNA;SI;NO;NO;NO;NO;SI;4;3
10B2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;SI;SI;NO;NO;4;4
4H2;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;5
4F2;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;6
4D2;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;7
4B2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;8
