[ESCENARIO]
Titulo;If This Is Combat...
Turnos;5
Norte;N
Despliega_primero;German
Mueve_primero;German
Descripcion;Son, Holanda, 17 de septiembre de 1944. La Operación Market-Garden había comenzado. El 506.º PIR debía capturar el puente principal sobre el Canal Wilhelmina al sur de Son y dos puentes secundarios. El salto fue exitoso gracias a la luz del día y al excelente campo de aterrizaje. Sin embargo, al acercarse desde el bosque Zoenche por el este, los paracaidistas recibieron fuego de alta velocidad de tres cañones antiaéreos de 88mm alemanes que abrieron fuego sobre ellos. Un veterano lo expresó así: "Si esto es combate, no quiero saber más." Finalmente cargaron contra los cañones, pero cuando los elementos de vanguardia estaban a solo 40 metros del puente, los alemanes lo volaron. Fue uno de los pocos puentes que los Aliados no pudieron capturar intacto.
Victoria;El jugador americano gana si tiene una unidad en el hex E5 del mapa 5 al final de cualquier turno. En caso contrario, gana el jugador alemán.

[ALIADOS]
Faccion;American
Ops_rango;2-7
Puntos_comando;1
Ruta_huida;W
Despliegue_inicial;Las unidades entran por grupos al inicio del turno indicado (antes de la fase de operaciones), sin marcador de ocultamiento. Grupo 1 (T1) y Grupos 2 y 3 (T2 y T3): entran en los hexes B1, B2, C2 o D2 del mapa 7; si hay apilamiento máximo, el exceso puede ir a 7D3 o 7C3. Grupo 4 (T4): entra por el borde Norte del mapa 5. En el turno 1 el jugador americano no puede usar Puntos de Mando. Regla especial: las unidades americanas nunca pueden moverse voluntariamente a un hex más alejado del puente; solo pueden hacerlo por retirada.
Despliegue_alternativo;

[EJE]
Faccion;German
Ops_rango;3-6
Puntos_comando;0
Ruta_huida;E
Despliegue_inicial;Despliegue A: 1 escuadra + 1 DECOY al sur del canal en el mapa 5. Despliegue B: hasta 3 escuadras + 1 DECOY en los hexes 5B2, 5B3, 5C1, 5C2 o 5C3. Despliegue C: 3 cañones 88mm en los hexes 5D5, 5D6 y 5D7 (con foxholes).
Despliegue_alternativo;

[UNIDADES_ALIADOS]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
Paratrooper Squad;squad;NO;16;3;1
Paratrooper MG;wt_mg;NO;3;1;1
Paratrooper Squad;squad;NO;16;3;2
Paratrooper MG;wt_mg;NO;3;1;2
Paratrooper Squad;squad;NO;16;3;3
Paratrooper MG;wt_mg;NO;3;1;3
Paratrooper Squad;squad;NO;16;2;4

[UNIDADES_EJE]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
2nd Line;squad;NO;10;4;1
1st Line DECOY;decoy;NO;8;2;1
88mm AA;vehicle;NO;3;3;1

[UNIDADES_NEUTRALES]
Tipo;Fichas_escenario;Turno_entrada;Prof;Acc
Foxhole;3;1;0;0

[MAPA]
Coordenada;Terreno;Elevacion;Upper_Level;Fortificacion;Lado_NE;Lado_E;Lado_SE;Lado_SW;Lado_W;Lado_NW;Col;Row
7B9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;1
7D9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;2
7F9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;3
7H9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;4
7A9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;0
7C9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;1
7E9;RIO / CANAL;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;2
7G9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;3
7I9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;4
7B8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;1
7D8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;2
7F8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;3
7H8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;4
7A8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;0
7C8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;1
7E8;RIO / CANAL;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;2
7G8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;3
7I8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;4
7B7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;1
7D7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;2
7F7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;3
7H7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;4
7A7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;0
7C7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;1
7E7;RIO / CANAL;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;2
7G7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;3
7I7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;4
7B6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;1
