[ESCENARIO]
Titulo;Corporal to Sergeant
Turnos;8
Norte;SE
Despliega_primero;German
Mueve_primero;American
Descripcion;Best, Holanda, 18 de septiembre de 1944. El puente sobre el Canal Wilhelmina entre Eindhoven y Best no era considerado prioritario por los británicos, pero el General Taylor creyó conveniente tenerlo en caso de que el puente de Son quedara inutilizable. Encargó su captura a la compañía How del 3.er Batallón del 502.º. El día D el comandante comprendió que se enfrentaba a fuerzas superiores y pidió refuerzos; ambos bandos llamaron a más tropas repetidamente hasta que dos batallones enteros estaban comprometidos. Al cruzar el campo abierto bajo fuego intenso las bajas fueron terribles. Los ingenieros del 326.º trabajaron toda la noche para erigir el puente Bailey que reemplazaría al volado en Son. Al día siguiente, tanques Churchill y Challenger cambiaron el curso de la batalla. "Era un cabo; cuando llegué al otro lado era sargento." – Howard Matthews, Fox Company.
Victoria;Los americanos ganan controlando los hexes 1E6, 1F1 y 2D8 al final del turno 8. En caso contrario, gana el jugador alemán.

[ALIADOS]
Faccion;American
Ops_rango;3-6
Puntos_comando;3
Ruta_huida;NE
Despliegue_inicial;Mapas 6 y 9 en las filas E a I. Al menos 10 escuadras deben desplegarse en las filas E y F. Regla de tablero: todos los hexes no-carretera de la fila I en los mapas 6 y 9 son bosque. Regla especial turno 1: los americanos deben intentar mover todas las escuadras de las filas E y F al máximo de sus PMs (sur o suroeste); si fallan un chequeo de moral a mitad del movimiento, el movimiento termina. Los jugadores alternan seleccionando qué escuadra mover (americano primero) hasta alcanzar el Rango de Operaciones máximo (6).
Despliegue_alternativo;

[EJE]
Faccion;German
Ops_rango;2-4
Puntos_comando;2
Ruta_huida;SW
Despliegue_inicial;Cualquier hex de los mapas 1 y 2. Todas las unidades alemanas pueden comenzar la partida con un marcador de Fuego de Oportunidad.
Despliegue_alternativo;El jugador alemán puede cambiar 1 MG WT y 1 escuadra por 2 Decoys para que el escenario termine al final del turno 7.

[UNIDADES_ALIADOS]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
Paratrooper Squad;squad;NO;16;14;1
Paratrooper w/ Bazooka;squad;NO;5;4;1
Paratrooper MG;wt_mg;NO;3;3;1
Paratrooper Mortar;wt_mortar;NO;3;2;1
Paratrooper DECOY;decoy;NO;9;2;1

[UNIDADES_EJE]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
1st Line;squad;NO;20;8;1
1st Line MG WT;wt_mg;NO;3;2;1
Mortar WT;wt_mortar;NO;1;1;1
1st Line DECOY;decoy;NO;8;4;1
20mm;vehicle;NO;2;2;1

[UNIDADES_NEUTRALES]
Tipo;Fichas_escenario;Turno_entrada;Prof;Acc
Foxhole;10;1;0;0
Artillería 80mm;1;1;7;8
Artillería 80mm;1;1;6;8
Artillería 100mm;1;1;5;8

[MAPA]
Coordenada;Terreno;Elevacion;Upper_Level;Fortificacion;Lado_NE;Lado_E;Lado_SE;Lado_SW;Lado_W;Lado_NW;Col;Row
2H0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;1
2F0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;2
2D0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;3
2B0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;4
9B9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;5
9D9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;6
9F9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;7
9H9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;8
2I1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;0
2G1;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;1
2E1;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;2
2C1;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;3
2A1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;4
9C9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;5
9E9;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;6
9G9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;7
9I9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;8
2H1;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;1
2F1;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;2
2D1;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;3
2B1;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;4
9B8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;5
9D8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;6
9F8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;7
9H8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;8
2I2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;0
2G2;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;1
2E2;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;2
2C2;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;3
2A2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;4
9C8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;5
9E8;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;6
9G8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;7
9I8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;8
2H2;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;1
2F2;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;2
2D2;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;3
