[ESCENARIO]
Titulo;Black Friday
Turnos;9
Norte;N
Despliega_primero;American
Mueve_primero;German
Descripcion;Veghel, Holanda, 22 de septiembre de 1944. La 107.ª Brigada Panzer, tras fracasar en Son, se desplazó de noche hacia Erp y continuó hacia Veghel para cortar el Corredor Market-Garden. Los ataques llegaron desde el este y el norte. La defensa corrió a cargo de quien se encontrara disponible: un grupo heterogéneo de prácticamente todas las unidades del 101.º. "La peor acción que recuerdo fue Veghel." – PFC James H. Martin. Sin apoyo blindado propio, los paracaidistas neutralizaron los tanques enemigos con pequeños cañones antitanque, bazucas y asaltos cuerpo a cuerpo. Una vez más el Airborne resistió y Veghel permaneció en manos americanas.
Victoria;El jugador alemán gana si controla más hexes de edificios del mapa 3 que los americanos al final del turno 9. En caso contrario, gana el jugador americano.

[ALIADOS]
Faccion;American
Ops_rango;2-5
Puntos_comando;1
Ruta_huida;W
Despliegue_inicial;Despliegue A (mapa 5): 2 escuadras + 1 Bazooka + 2 Decoys en cualquier hex. Despliegue B (mapa 3): 4 escuadras + 2 Bazookas + 2 MGs + 4 Decoys + 4 cañones 57mm en cualquier hex. Refuerzos turno 4: 4 escuadras + 2 Bazookas entran por el borde Sur del mapa 1 y/o borde Oeste del mapa 1 filas A–E. Refuerzos turno 5: 5 escuadras entran por el borde Oeste del mapa 3.
Despliegue_alternativo;El jugador americano puede cambiar cualquier Escuadra Bazooka para añadir un MG WT a ese grupo.

[EJE]
Faccion;German
Ops_rango;3-6
Puntos_comando;2
Ruta_huida;E
Despliegue_inicial;Turno 1 borde Este mapas 6 y 9: 13 escuadras + 3 MG WT + 1 Mortar WT + 2 PzIVH + 2 PzVIE. Turno 2 borde Norte mapa 5: 5 escuadras + 1 PzVIE. Turno 3 borde Este mapas 6 y 9: 2 PzVG. Ruta de huida: Norte para unidades en mapa 5; Este para el resto.
Despliegue_alternativo;

[UNIDADES_ALIADOS]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
Paratrooper Squad;squad;NO;16;6;1
Paratrooper w/ Bazooka;squad;NO;5;3;1
Paratrooper MG;wt_mg;NO;3;2;1
Paratrooper DECOY;decoy;NO;9;6;1
57mm AT Gun;vehicle;NO;4;4;1
Paratrooper Squad;squad;NO;16;4;4
Paratrooper w/ Bazooka;squad;NO;5;2;4
Paratrooper Squad;squad;NO;16;5;5

[UNIDADES_EJE]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
1st Line;squad;NO;20;13;1
1st Line MG WT;wt_mg;NO;3;3;1
Mortar WT;wt_mortar;NO;1;1;1
PzIVH;vehicle;NO;5;2;1
PzVIE;vehicle;NO;4;2;1
1st Line;squad;NO;20;5;2
PzVIE;vehicle;NO;4;1;2
PzVG;vehicle;NO;3;2;3

[UNIDADES_NEUTRALES]
Tipo;Fichas_escenario;Turno_entrada;Prof;Acc
Foxhole;10;1;0;0

[MAPA]
Coordenada;Terreno;Elevacion;Upper_Level;Fortificacion;Lado_NE;Lado_E;Lado_SE;Lado_SW;Lado_W;Lado_NW;Col;Row
5H0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;1
5F0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;2
5D0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;3
5B0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;4
3H0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;5
3F0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;6
3D0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;7
3B0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;8
1H0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;9
1F0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;10
1D0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;11
1B0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;12
5I1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;0
5G1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;1
5E1;RIO / CANAL;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;2
5C1;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;3
5A1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;4
3G1;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;5
3E1;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;6
3C1;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;7
3A1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;8
1G1;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;9
1E1;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;10
1C1;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;11
1A1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;12
5H1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;1
5F1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;2
5D1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;3
5B1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;4
3H1;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;5
3F1;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;6
