[ESCENARIO]
Titulo;The Orchard
Turnos;8
Norte;N
Despliega_primero;American
Mueve_primero;American
Descripcion;American paratroopers hold an orchard against a German counterattack. The road on board 9 from E1 to E9 is a dike road. All hexes on boards 6 and 2, and all hexes on board 9 on the dike road, are considered Orchards.
Victoria;The American player wins if there are no German units on board 6, board 2, or on or west of the dike road on board 9 at the end of the game.

[ALIADOS]
Faccion;American
Ops_rango;2-7
Puntos_comando;2
Ruta_huida;W
Despliegue_inicial;Company A (board 6, hex rows A-C): 3 Paratrooper Squads (full), 2 Paratrooper Squads (Reduced), 1 Paratrooper MG. Company C (board 9, on or west of the dike road): 6 Paratrooper Squads (full), 2 Paratrooper Squads (Reduced), 1 Paratrooper w/ Bazooka, 1 Paratrooper MG, 3 Paratrooper DECOY.
Despliegue_alternativo;

[EJE]
Faccion;German
Ops_rango;3-6
Puntos_comando;2
Ruta_huida;E
Despliegue_inicial;Board 2: 6 1st Line, 1 1st Line MG WT, 6 1st Line DECOY. Board 1: 9 1st Line, 1 1st Line MG WT, 1 1st Line DECOY.
Despliegue_alternativo;The German player may exchange 1 1st Line MG WT and 1 1st Line DECOY to add 2 additional 1st Line Squads in that group.

[UNIDADES_ALIADOS]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
Paratrooper Squad;squad;NO;16;9;1
Paratrooper Squad;squad;SI;16;4;1
Paratrooper w/ Bazooka;squad;NO;5;1;1
Paratrooper MG;wt_mg;NO;3;2;1
Paratrooper DECOY;decoy;NO;9;3;1

[UNIDADES_EJE]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
1st Line;squad;NO;20;15;1
1st Line MG WT;wt_mg;NO;3;2;1
1st Line DECOY;decoy;NO;8;7;1

[UNIDADES_NEUTRALES]
Tipo;Fichas_escenario;Turno_entrada;Prof;Acc

[MAPA]
Coordenada;Terreno;Elevacion;Upper_Level;Fortificacion;Lado_N;Lado_NE;Lado_SE;Lado_S;Lado_SW;Lado_NW;Col;Row
6A1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;1
6A2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;2
6A3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;3
6A4;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;4
6A5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;5
6A6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;6
6A7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;7
6A8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;8
6A9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;9
6B0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;0
6B1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;1
6B2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;2
6B3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;3
6B4;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;4
6B5;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;5
6B6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;6
6B7;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;7
6B8;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;8
6B9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;9
6C1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;1
6C2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;2
6C3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;3
6C4;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;4
6C5;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;5
6C6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;6
6C7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;7
6C8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;8
6C9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;9
6D0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;0
6D1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;1
6D2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;2
6D3;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;3
6D4;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;4
6D5;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;5
6D6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;6
6D7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;7
6D8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;8
6D9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;9
6E1;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;1
6E2;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;2
6E3;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;3
6E4;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;4
6E5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;5
6E6;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;6
6E7;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;7
6E8;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;8
6E9;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;9
6F0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;0
6F1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;1
6F2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;2
6F3;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;3
6F4;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;4
6F5;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;5
6F6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;6
6F7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;7
6F8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;8
6F9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;9
6G1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;1
6G2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;2
6G3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;3
6G4;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;4
6G5;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;5
6G6;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;6
6G7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;7
6G8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;8
6G9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;9
6H0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;0
6H1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;1
6H2;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;2
6H3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;3
6H4;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;4
6H5;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;5
6H6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;6
6H7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;7
6H8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;8
6H9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;9
6I1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;1
6I2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;2
6I3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;3
6I4;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;4
6I5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;5
6I6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;6
6I7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;7
6I8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;8
6I9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;9
2B0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;9;0
2B1;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;9;1
2B2;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;9;2
2B3;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;9;3
2B4;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;9;4
2B5;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;9;5
2B6;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;9;6
2B7;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;9;7
2B8;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;9;8
2B9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;9;9
2C1;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;10;1
2C2;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;10;2
2C3;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;10;3
