[ESCENARIO]
Titulo;Opheusden
Turnos;10
Norte;N
Despliega_primero;German
Mueve_primero;German
Descripcion;Opheusden, Holland, October 6th, 1944. As the 506th moved into positions along the front, the British pulled out with their tanks. The Germans launched a full scale attack eastwards into and around Opheusden using the 363rd Volksgrenadier Division supported by armor and artillery.
Victoria;The German player wins if they have more units in buildings of board 3 than the Americans have units in buildings of board 1.

[ALIADOS]
Faccion;American
Ops_rango;2-7
Puntos_comando;1
Ruta_huida;E
Despliegue_inicial;Set up on any hex on board 3 and on board 1 East of row E. Turn 5: Enter along any East edge hex. Command Points: 1 until turn 5, then 3 for the remainder of the game.
Despliegue_alternativo;

[EJE]
Faccion;German
Ops_rango;3-6
Puntos_comando;2
Ruta_huida;W
Despliegue_inicial;Set up on any hex on board 1 West of row E. Turn 3: Enter along any West edge hex.
Despliegue_alternativo;

[UNIDADES_ALIADOS]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
Paratrooper Squad;squad;NO;16;5;1
Paratrooper Squad;squad;NO;16;10;5
Paratrooper w/ Bazooka;squad;NO;5;2;1
Paratrooper w/ Bazooka;squad;NO;5;3;5
Paratrooper MG;wt_mg;NO;3;2;1
Paratrooper MG;wt_mg;NO;3;1;5
Paratrooper Mortar;wt_mortar;NO;3;1;1
57mm AT Gun;vehicle;NO;4;3;1

[UNIDADES_EJE]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
1st Line;squad;NO;20;12;1
1st Line;squad;NO;20;6;3
1st Line MG WT;wt_mg;NO;3;2;1
PzVG;vehicle;NO;3;1;1
PzVG;vehicle;NO;3;1;3
PzIVH;vehicle;NO;5;2;1
PzIVH;vehicle;NO;5;2;3

[UNIDADES_NEUTRALES]
Tipo;Fichas_escenario;Turno_entrada;Prof;Acc
Foxholes;1;1;0;0
Artillery 150mm;1;6;6;9
Artillery 80mm;1;1;7;9
Artillery 80mm;1;1;6;8

[MAPA]
Coordenada;Terreno;Elevacion;Upper_Level;Fortificacion;Lado_N;Lado_NE;Lado_SE;Lado_S;Lado_SW;Lado_NW;Col;Row
1I9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;1
1I8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;2
1I7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;3
1I6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;4
1I5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;5
1I4;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;6
1I3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;7
1I2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;8
1I1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;9
1H9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;0
1H8;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;1
1H7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;2
1H6;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;3
1H5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;4
1H4;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;5
1H3;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;6
1H2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;7
1H1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;8
1H0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;9
1G9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;1
1G8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;2
