[ESCENARIO]
Titulo;Hettrick's War
Turnos;8
Norte;N
Despliega_primero;German
Mueve_primero;German
Descripcion;Near Opheusden, Holland, October 1944. Lt. Hettrick's 327th Glider Infantry company holds a dike position against a German artillery bombardment and full-scale assault. Board rules: The East-West road on boards 6 (6E1-6E9) and 9 (9E1-9E9) are dike roads. Foxholes may be placed on the dike.
Victoria;The German player wins by having more units on or South of row E on board 9 than the American player at the end of game turn 8.

[ALIADOS]
Faccion;American
Ops_rango;2-7
Puntos_comando;2
Ruta_huida;S
Despliegue_inicial;Set up in Dike Road hexes on board 9.
Despliegue_alternativo;The American player may exchange 1 Paratrooper DECOY for 1 additional Paratrooper Squad. If this exchange is made, American Artillery is only available on turns 5-7.

[EJE]
Faccion;German
Ops_rango;3-5
Puntos_comando;1
Ruta_huida;N
Despliegue_inicial;Set up on or North of row E on board 6.
Despliegue_alternativo;

[UNIDADES_ALIADOS]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
Paratrooper Squad;squad;NO;16;7;1
Paratrooper MG;wt_mg;NO;3;2;1
Paratrooper DECOY;decoy;NO;9;4;1

[UNIDADES_EJE]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
1st Line;squad;NO;20;14;1
1st Line MG WT;wt_mg;NO;3;2;1

[UNIDADES_NEUTRALES]
Tipo;Fichas_escenario;Turno_entrada;Prof;Acc
Foxholes;20;1;0;0
Artillery 80mm;1;4;10;10
Artillery 80mm;2;1;9;9
Artillery 100mm;2;1;9;9
Artillery 120mm;1;1;9;9

[MAPA]
Coordenada;Terreno;Elevacion;Upper_Level;Fortificacion;Lado_NE;Lado_E;Lado_SE;Lado_SW;Lado_W;Lado_NW;Col;Row
6H0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;1
6F0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;2
6D0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;3
6B0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;4
9H0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;5
9F0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;6
9D0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;7
9B0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;8
6I1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;0
6G1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;1
6E1;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;2
6C1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;3
6A1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;4
9G1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;5
9E1;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;6
9C1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;7
9A1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;8
