[ESCENARIO]
Titulo;Noville
Turnos;8
Norte;N
Despliega_primero;German
Mueve_primero;German
Descripcion;Noville, Belgium, December 19th, 1944. American tanks and paratroopers hold Noville against the full weight of German armor. Board rules: all half hexes on the North edge of boards 6 and 9 are woods, except 6A5 and 9A5. FOG RULE: -1 to Infantry FP per 4 hexes of range (infantry not considered moving in open); vehicles must take a Prof Check firing with -1 Prof per 4 hexes; SATW Checks get -1 Morale. Setup order: all German Infantry first, then all Americans, then all German Vehicles.
Victoria;The German player wins by having at least 3 squads in buildings on board 1 and/or board 3 at the end of game turn 8.

[ALIADOS]
Faccion;American
Ops_rango;3-7
Puntos_comando;2
Ruta_huida;S
Despliegue_inicial;Boards 1 and 3: 2 Squads, 1 Paratrooper w/ Bazooka, 5 DECOY, 2 M4A3(76), 3 M18 Tank Destroyers. Boards 6 and 9, hex rows E and F: 10 Squads, 3 Mortars, 2 MG, 2 DECOY, 17 Foxholes. Units on boards 6 and 9 may NOT voluntarily move on Turn 1 (they may fire).
Despliegue_alternativo;The American player may exchange 1 Paratrooper MG to add 1 Paratrooper w/ Bazooka to that group.

[EJE]
Faccion;German
Ops_rango;3-6
Puntos_comando;1
Ruta_huida;N
Despliegue_inicial;Boards 6 and 9, hex rows A, B, and C: 18 1st Line, 3 MG WT. Boards 6 and 9, hex rows G and H: 4 PzVG, 4 PzIVH. Tanks may not set up adjacent to another tank.
Despliegue_alternativo;

[UNIDADES_ALIADOS]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
Paratrooper Squad;squad;NO;16;12;1
Paratrooper w/ Bazooka;squad;NO;5;1;1
Paratrooper Mortar;wt_mortar;NO;3;3;1
Paratrooper MG;wt_mg;NO;3;2;1
Paratrooper DECOY;decoy;NO;9;7;1
M4A3 (76);vehicle;NO;6;2;1
M18 Tank Destroyer;vehicle;NO;4;3;1

[UNIDADES_EJE]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
1st Line;squad;NO;20;18;1
1st Line MG WT;wt_mg;NO;3;3;1
PzVG;vehicle;NO;3;4;1
PzIVH;vehicle;NO;5;4;1

[UNIDADES_NEUTRALES]
Tipo;Fichas_escenario;Turno_entrada;Prof;Acc
Foxholes;17;1;0;0

[MAPA]
Coordenada;Terreno;Elevacion;Upper_Level;Fortificacion;Lado_NE;Lado_E;Lado_SE;Lado_SW;Lado_W;Lado_NW;Col;Row
9B9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;1
9D9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;2
9F9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;3
9H9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;4
3B9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;5
3D9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;6
3F9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;7
3H9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;8
9A9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;0
9C9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;1
9E9;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;2
9G9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;3
9I9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;4
3C9;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;5
3E9;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;6
3G9;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;7
3I9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;8
9B8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;1
9D8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;2
9F8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;3
9H8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;4
3B8;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;5
3D8;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;6
3F8;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;7
3H8;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;8
9A8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;0
9C8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;1
9E8;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;2
9G8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;3
9I8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;4
3C8;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;5
3E8;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;6
3G8;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;7
3I8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;8
9B7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;1
9D7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;2
9F7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;3
9H7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;4
3B7;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;5
3D7;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;6
3F7;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;7
3H7;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;8
9A7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;0
9C7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;1
9E7;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;2
9G7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;3
9I7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;4
3C7;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;5
3E7;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;6
3G7;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;7
3I7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;8
9B6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;1
9D6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;2
9F6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;3
9H6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;4
3B6;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;5
3D6;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;6
3F6;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;7
3H6;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;8
