[ESCENARIO]
Titulo;Ambush at Wardin
Turnos;7
Norte;N
Despliega_primero;N/A
Mueve_primero;German
Descripcion;Wardin, Belgium, December 19th, 1944. Company I of the 501st encounters the 901st Panzer Regiment entering Wardin from the south, turning what should have been a meeting engagement into an ambush.
Victoria;The German player wins immediately if he controls all of the stone buildings on board 1.

[ALIADOS]
Faccion;American
Ops_rango;3-4
Puntos_comando;1
Ruta_huida;N
Despliegue_inicial;All Allied units enter on the West edge of board 1 or hexes A8 or A9 of the North edge on game turn 1.
Despliegue_alternativo;

[EJE]
Faccion;German
Ops_rango;3-6
Puntos_comando;2
Ruta_huida;S
Despliegue_inicial;All German units enter the South edge of board 6 on game turn 1.
Despliegue_alternativo;

[UNIDADES_ALIADOS]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
Paratrooper Squad;squad;NO;16;7;1
Paratrooper w/ Bazooka;squad;NO;5;4;1
Paratrooper MG;wt_mg;NO;3;1;1
Paratrooper Mortar;wt_mortar;NO;3;1;1

[UNIDADES_EJE]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
1st Line;squad;NO;20;14;1
1st Line MG WT;wt_mg;NO;3;2;1
PzVIE;vehicle;NO;4;2;1
PzIVH;vehicle;NO;5;2;1

[UNIDADES_NEUTRALES]
Tipo;Fichas_escenario;Turno_entrada;Prof;Acc
Artillery 80mm;1;2;6;8

[MAPA]
Coordenada;Terreno;Elevacion;Upper_Level;Fortificacion;Lado_NE;Lado_E;Lado_SE;Lado_SW;Lado_W;Lado_NW;Col;Row
1B9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;1
1D9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;2
1F9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;3
1H9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;4
6H0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;5
6F0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;6
6D0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;7
6B0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;8
1A9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;0
1C9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;1
1E9;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;2
1G9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;3
1I9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;4
6G1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;5
6E1;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;6
6C1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;7
6A1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;8
1B8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;1
1D8;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;2
1F8;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;3
1H8;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;4
6H1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;5
6F1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;6
6D1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;7
6B1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;8
1A8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;0
1C8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;1
1E8;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;2
1G8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;3
1I8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;4
6G2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;5
6E2;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;6
6C2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;7
6A2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;8
1B7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;1
1D7;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;2
1F7;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;3
1H7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;4
6H2;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;5
6F2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;6
6D2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;7
6B2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;8
1A7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;0
1C7;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;1
1E7;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;2
1G7;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;3
1I7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;4
6G3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;5
6E3;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;6
6C3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;7
6A3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;8
1B6;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;1
1D6;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;2
1F6;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;3
1H6;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;4
6H3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;5
6F3;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;6
6D3;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;7
6B3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;8
1A6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;0
1C6;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;1
1E6;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;2
1G6;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;3
1I6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;4
6G4;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;5
6E4;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;6
6C4;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;7
6A4;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;8
1B5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;1
1D5;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;2
1F5;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;3
1H5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;4
6H4;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;5
6F4;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;6
6D4;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;7
6B4;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;8
1A5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;9;0
1C5;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;9;1
1E5;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;9;2
1G5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;9;3
1I5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;9;4
6G5;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;9;5
6E5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;9;6
6C5;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;9;7
6A5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;9;8
1B4;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;10;1
1D4;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;10;2
1F4;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;10;3
1H4;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;10;4
6H5;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;10;5
6F5;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;10;6
6D5;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;10;7
6B5;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;10;8
1A4;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;11;0
1C4;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;11;1
1E4;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;11;2
1G4;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;11;3
1I4;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;11;4
6G6;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;11;5
6E6;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;11;6
6C6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;11;7
6A6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;11;8
1B3;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;12;1
1D3;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;12;2
1F3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;12;3
1H3;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;12;4
6H6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;12;5
6F6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;12;6
6D6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;12;7
6B6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;12;8
1A3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;13;0
1C3;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;13;1
1E3;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;13;2
1G3;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;13;3
1I3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;13;4
6G7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;13;5
6E7;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;13;6
