[ESCENARIO]
Titulo;Son Defense
Turnos;10
Norte;N
Despliega_primero;American
Mueve_primero;German
Descripcion;Son, Holland, September 20th, 1944. Elements of the 327th Glider Infantry and British tanks reinforce the Bailey bridge against a renewed German attack from the Southeast.
Victoria;The German player wins by having the only units in hex 5G5 and 5G7 at the end of any game turn.

[ALIADOS]
Faccion;American
Ops_rango;2-7
Puntos_comando;1
Ruta_huida;W
Despliegue_inicial;Boards 4 and 5. At least 3 Squads and 1 WT must be set up on Board 4 in a hex numbered 1. At least 4 Squads, WTs, or Guns must be set up North of the canal.
Despliegue_alternativo;The American player may exchange any 2 units for Decoys to have the scenario end after Turn 9.

[EJE]
Faccion;German
Ops_rango;3-6
Puntos_comando;1
Ruta_huida;E
Despliegue_inicial;Set up on any hex on board 2.
Despliegue_alternativo;

[UNIDADES_ALIADOS]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
Paratrooper Squad;squad;NO;16;7;1
Paratrooper w/ Bazooka;squad;NO;5;2;1
Paratrooper MG;wt_mg;NO;3;2;1
Paratrooper DECOY;decoy;NO;9;2;1
M4A3 (76);vehicle;NO;6;4;1
57mm AT Gun;vehicle;NO;4;2;1

[UNIDADES_EJE]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
1st Line;squad;NO;20;16;1
1st Line MG WT;wt_mg;NO;3;2;1
Mortar WT;wt_mortar;NO;1;1;1
PzVG;vehicle;NO;3;3;1
PzVIE;vehicle;NO;4;1;1

[UNIDADES_NEUTRALES]
Tipo;Fichas_escenario;Turno_entrada;Prof;Acc
Foxholes;8;1;0;0

[MAPA]
Coordenada;Terreno;Elevacion;Upper_Level;Fortificacion;Lado_NE;Lado_E;Lado_SE;Lado_SW;Lado_W;Lado_NW;Col;Row
5B9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;1
5D9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;2
5F9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;3
5H9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;4
4H0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;5
4F0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;6
4D0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;7
4B0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;8
5A9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;0
5C9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;1
5E9;RIO / CANAL;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;2
5G9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;3
5I9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;4
4G1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;5
4E1;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;6
4C1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;7
4A1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;8
5B8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;1
5D8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;2
5F8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;3
5H8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;4
4H1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;5
4F1;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;6
4D1;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;7
4B1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;8
5A8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;0
5C8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;1
5E8;RIO / CANAL;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;2
5G8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;3
5I8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;4
4G2;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;5
4E2;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;6
