[ESCENARIO]
Titulo;Eindhoven
Turnos;9
Norte;W
Despliega_primero;American
Mueve_primero;American
Descripcion;Eindhoven, Holanda, 18 de septiembre de 1944. Con Son asegurado, el 3.er Batallón del 506.º PIR avanzó hacia Eindhoven la mañana del D+1. Era vital tomar la ciudad rápidamente para poder traer el equipo de pontones que reemplazara el puente volado en Son. Los paracaidistas fueron hostigados con fuego de artillería y pequeñas bolsas de infantería alemana en los campos. A las 13:00h, los hombres de la compañía "How" entraron por el borde norte y comenzaron a limpiar la ciudad casa a casa. Dentro encontraron más cañones del 88mm. Al final del ataque, el 101 había tomado toda Eindhoven, incluidos los 4 puentes prioritarios sobre el río Dommel.
Victoria;El jugador americano gana si elimina todas las unidades alemanas al final del turno 9. En caso contrario, gana el jugador alemán.

[ALIADOS]
Faccion;American
Ops_rango;2-7
Puntos_comando;2
Ruta_huida;N
Despliegue_inicial;El grueso se despliega en el mapa 1 en hexes con número 8 o superior, o entra por el borde Norte del mapa 1. Los refuerzos del turno 7 entran por el borde Este o Borde Oeste del mapa 3 (el jugador debe pre-registrar el borde antes del inicio de la partida). Al entrar, no pueden hacerlo directamente desde fuera del tablero en un medio-hex que contenga una unidad alemana.
Despliegue_alternativo;

[EJE]
Faccion;German
Ops_rango;3-4
Puntos_comando;1
Ruta_huida;S
Despliegue_inicial;4 escuadras en el mapa 1 en hexes con número 6 o inferior. El resto en el mapa 3. Los alemanes no reciben Decoys y los dos cañones 88mm no pueden ser ocultados ni situados en edificios.
Despliegue_alternativo;El jugador alemán puede cambiar 2 escuadras por un tercer MG WT de 2ª Línea.

[UNIDADES_ALIADOS]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
Paratrooper Squad;squad;NO;16;7;1
Paratrooper w/ Bazooka;squad;NO;5;2;1
Paratrooper MG;wt_mg;NO;3;1;1
Paratrooper Squad;squad;NO;16;4;7

[UNIDADES_EJE]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
2nd Line;squad;NO;10;7;1
2nd Line MG WT;wt_mg;NO;3;2;1
88mm AA;vehicle;NO;3;2;1

[UNIDADES_NEUTRALES]
Tipo;Fichas_escenario;Turno_entrada;Prof;Acc
Foxhole;2;1;0;0
Artillería 80mm;1;1;5;8

[MAPA]
Coordenada;Terreno;Elevacion;Upper_Level;Fortificacion;Lado_NE;Lado_E;Lado_SE;Lado_SW;Lado_W;Lado_NW;Col;Row
1B9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;1
1D9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;2
1F9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;3
1H9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;4
1A9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;0
1C9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;1
1E9;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;2
1G9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;3
1I9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;4
1B8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;1
1D8;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;2
1F8;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;3
1H8;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;4
1A8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;0
1C8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;1
1E8;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;2
1G8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;3
1I8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;4
1B7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;1
1D7;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;2
1F7;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;3
1H7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;4
1A7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;0
1C7;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;1
1E7;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;2
1G7;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;3
1I7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;4
1B6;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;1
1D6;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;2
1F6;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;3
1H6;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;4
1A6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;0
1C6;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;1
1E6;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;2
1G6;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;3
1I6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;4
1B5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;1
1D5;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;2
1F5;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;3
1H5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;4
1A5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;9;0
1C5;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;9;1
1E5;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;9;2
1G5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;9;3
1I5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;9;4
1B4;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;10;1
1D4;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;10;2
1F4;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;10;3
1H4;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;10;4
1A4;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;11;0
1C4;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;11;1
1E4;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;11;2
1G4;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;11;3
1I4;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;11;4
1B3;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;12;1
1D3;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;12;2
1F3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;12;3
1H3;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;12;4
1A3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;13;0
1C3;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;13;1
1E3;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;13;2
1G3;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;13;3
1I3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;13;4
1B2;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;14;1
1D2;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;14;2
1F2;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;14;3
1H2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;14;4
1A2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;15;0
1C2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;15;1
1E2;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;15;2
1G2;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;15;3
1I2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;15;4
1B1;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;16;1
1D1;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;16;2
1F1;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;16;3
1H1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;16;4
1A1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;17;0
1C1;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;17;1
1E1;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;17;2
1G1;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;17;3
1I1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;17;4
1B0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;18;1
1D0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;18;2
1F0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;18;3
1H0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;18;4
3I1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;19;0
3G1;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;19;1
3E1;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;19;2
3C1;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;19;3
3A1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;19;4
3H1;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;20;1
3F1;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;20;2
3D1;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;20;3
3B1;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;20;4
3I2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;21;0
3G2;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;21;1
3E2;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;21;2
3C2;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;21;3
3A2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;21;4
3H2;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;22;1
3F2;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;22;2
3D2;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;22;3
3B2;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;22;4
3I3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;23;0
3G3;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;23;1
3E3;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;23;2
3C3;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;23;3
3A3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;23;4
