[ESCENARIO]
Titulo;Road Cut
Turnos;7
Norte;E
Despliega_primero;German
Mueve_primero;American
Descripcion;The Americans must clear all German units from the Road to Arnhem. The road running from 6E1 to 2E9 is considered a dike road (the Road to Arnhem).
Victoria;The American player wins if there are no German units on or adjacent to the Road to Arnhem at the end of game turn 7. The Road to Arnhem does not include branches off the main road running North-South.

[ALIADOS]
Faccion;American
Ops_rango;2-7
Puntos_comando;2
Ruta_huida;E
Despliegue_inicial;Turn 1: All Allied infantry enter from the East edge of any board. Turn 2: All Allied tanks enter from either the North board edge or the South board edge (not both edges).
Despliegue_alternativo;

[EJE]
Faccion;German
Ops_rango;3-6
Puntos_comando;2
Ruta_huida;W
Despliegue_inicial;All German units set up within 2 hexes of the Road to Arnhem (dike road from 6E1 to 2E9). Foxholes also set up within 2 hexes of the Road to Arnhem.
Despliegue_alternativo;The German player may exchange one 1st Line MG WT and the 20mm Gun for one 1st Line DECOY and an additional 88mm AA Gun.

[UNIDADES_ALIADOS]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
Paratrooper Squad;squad;NO;16;9;1
Paratrooper w/ Bazooka;squad;NO;5;3;1
Paratrooper MG;wt_mg;NO;3;2;1
M4A1;vehicle;NO;3;2;2
M4A3 (76);vehicle;NO;6;3;2
M4A3 (105);vehicle;NO;2;2;2

[UNIDADES_EJE]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
1st Line;squad;NO;20;9;1
1st Line MG WT;wt_mg;NO;3;2;1
Mortar WT;wt_mortar;NO;1;1;1
1st Line DECOY;decoy;NO;8;4;1
PzIVH;vehicle;NO;5;2;1
88mm AA;wt_mg;NO;3;1;1
20mm;wt_mg;NO;2;1;1
M4A1 (captured);vehicle;NO;1;1;1
M4A3(76) (captured);vehicle;NO;1;1;1

[UNIDADES_NEUTRALES]
Tipo;Fichas_escenario;Turno_entrada;Prof;Acc
Foxholes;16;1;0;0

[MAPA]
Coordenada;Terreno;Elevacion;Upper_Level;Fortificacion;Lado_NE;Lado_E;Lado_SE;Lado_SW;Lado_W;Lado_NW;Col;Row
6H0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;1
6F0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;2
6D0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;3
6B0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;4
6I1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;0
6G1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;1
6E1;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;2
6C1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;3
6A1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;4
6H1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;1
6F1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;2
6D1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;3
6B1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;4
6I2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;0
6G2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;1
6E2;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;2
6C2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;3
6A2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;4
6H2;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;1
6F2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;2
6D2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;3
