[ESCENARIO]
Titulo;Let's Hubba-Hubba
Turnos;9
Norte;W
Despliega_primero;German
Mueve_primero;American
Descripcion;Bois Jacques, Belgium, December 21st, 1944. The 1st Battalion of the 506th surrounds a Volksgrenadier battalion dug in a wooded area. Special rule: all hexes on all boards are Orchards, EXCEPT the East-West road from 6A5 to 2I5 (firebreak, open ground). Wooden buildings on boards 2 and 4 are not considered Orchards.
Victoria;The American player wins by eliminating all German units by the end of the game.

[ALIADOS]
Faccion;American
Ops_rango;2-7
Puntos_comando;2
Ruta_huida;W
Despliegue_inicial;A Company (turn 1, West edge of boards 6 and 9): 9 Squads, 2 Bazookas, 2 MG. C Company (turn 6, either North or South edge — must be pre-recorded before German set up): 5 Squads, 1 Bazooka, 1 MG.
Despliegue_alternativo;

[EJE]
Faccion;German
Ops_rango;3-4
Puntos_comando;1
Ruta_huida;E
Despliegue_inicial;Set up on any hex on any board, at least 3 whole hexes away from the West edge of boards 6 and 9.
Despliegue_alternativo;The German player may remove all Decoys at set up to take an additional MG WT.

[UNIDADES_ALIADOS]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
Paratrooper Squad;squad;NO;16;9;1
Paratrooper Squad;squad;NO;16;5;6
Paratrooper w/ Bazooka;squad;NO;5;2;1
Paratrooper w/ Bazooka;squad;NO;5;1;6
Paratrooper MG;wt_mg;NO;3;2;1
Paratrooper MG;wt_mg;NO;3;1;6

[UNIDADES_EJE]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
1st Line;squad;NO;20;18;1
1st Line MG WT;wt_mg;NO;3;2;1
1st Line DECOY;decoy;NO;8;1;1

[UNIDADES_NEUTRALES]
Tipo;Fichas_escenario;Turno_entrada;Prof;Acc
Foxholes;21;1;0;0

[MAPA]
Coordenada;Terreno;Elevacion;Upper_Level;Fortificacion;Lado_NE;Lado_E;Lado_SE;Lado_SW;Lado_W;Lado_NW;Col;Row
2H0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;1
2F0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;2
2D0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;3
2B0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;4
6H0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;5
6F0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;6
6D0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;7
6B0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;8
2I1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;0
2G1;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;1
2E1;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;2
2C1;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;3
2A1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;4
6G1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;5
6E1;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;6
6C1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;7
6A1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;8
2H1;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;1
2F1;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;2
2D1;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;3
2B1;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;4
6H1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;5
6F1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;6
6D1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;7
6B1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;8
2I2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;0
2G2;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;1
2E2;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;2
2C2;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;3
2A2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;4
6G2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;5
6E2;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;6
6C2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;7
6A2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;8
2H2;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;1
2F2;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;2
2D2;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;3
2B2;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;4
6H2;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;5
6F2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;6
6D2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;7
6B2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;8
2I3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;0
2G3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;1
2E3;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;2
2C3;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;3
2A3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;4
6G3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;5
