[ESCENARIO]
Titulo;To Die on Christmas
Turnos;5
Norte;N
Despliega_primero;German
Mueve_primero;American
Descripcion;Champs, Belgium, December 25th, 1944. A German night attack has penetrated the town. Paratroopers of the 502nd finish clearing the town in vicious house-to-house fighting.
Victoria;The American player wins by eliminating all German units by the end of game turn 5.

[ALIADOS]
Faccion;American
Ops_rango;2-4
Puntos_comando;2
Ruta_huida;S
Despliegue_inicial;Set up in any building hex not occupied by German units.
Despliegue_alternativo;

[EJE]
Faccion;German
Ops_rango;2-3
Puntos_comando;1
Ruta_huida;N
Despliegue_inicial;Set up in hexes F4, E5, E6, and any other 3 building hexes.
Despliegue_alternativo;

[UNIDADES_ALIADOS]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
Paratrooper Squad;squad;NO;16;6;1
Paratrooper w/ Bazooka;squad;NO;5;1;1
Paratrooper MG;wt_mg;NO;3;1;1

[UNIDADES_EJE]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
1st Line;squad;NO;20;4;1
1st Line MG WT;wt_mg;NO;3;1;1
1st Line DECOY;decoy;NO;8;1;1

[UNIDADES_NEUTRALES]
Tipo;Fichas_escenario;Turno_entrada;Prof;Acc

[MAPA]
Coordenada;Terreno;Elevacion;Upper_Level;Fortificacion;Lado_NE;Lado_E;Lado_SE;Lado_SW;Lado_W;Lado_NW;Col;Row
1H0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;1
1F0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;2
1D0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;3
1B0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;4
1I1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;0
1G1;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;1
1E1;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;2
1C1;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;3
1A1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;4
1H1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;1
1F1;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;2
1D1;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;3
1B1;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;4
1I2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;0
1G2;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;1
1E2;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;2
1C2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;3
1A2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;4
1H2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;1
1F2;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;2
1D2;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;3
1B2;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;4
1I3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;0
1G3;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;1
1E3;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;2
1C3;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;3
1A3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;4
1H3;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;1
1F3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;2
1D3;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;3
1B3;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;4
1I4;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;0
1G4;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;1
1E4;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;2
1C4;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;3
1A4;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;4
1H4;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;1
1F4;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;2
1D4;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;3
1B4;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;8;4
1I5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;9;0
1G5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;9;1
1E5;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;9;2
