[ESCENARIO]
Titulo;Return to Son
Turnos;6
Norte;N
Despliega_primero;German
Mueve_primero;German
Descripcion;Son, Holland, September 19th, 1944. German tanks of the 107th Panzer Brigade attack along the South side of the canal. Bonus scenario (out of chronological sequence). Special rule: within the first two turns, the Germans must move a tank within 2 hexes of the bridge or within 1 hex of an American unit.
Victoria;The German player wins by having the only units in hex 5C3 and 5G5 at the end of any game turn.

[ALIADOS]
Faccion;American
Ops_rango;2-7
Puntos_comando;1
Ruta_huida;N
Despliegue_inicial;North of the canal on board 5: 1 Squad, 2 Bazookas, 1 57mm AT Gun, 1 Foxhole. South of the canal on board 5: 2 Squads, 1 MG, 2 DECOY, 1 Foxhole.
Despliegue_alternativo;

[EJE]
Faccion;German
Ops_rango;3-4
Puntos_comando;0
Ruta_huida;S
Despliegue_inicial;South of the canal on board 7. All infantry must set up in woods hexes.
Despliegue_alternativo;

[UNIDADES_ALIADOS]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
Paratrooper Squad;squad;NO;16;3;1
Paratrooper w/ Bazooka;squad;NO;5;2;1
57mm AT Gun;vehicle;NO;4;1;1
Paratrooper MG;wt_mg;NO;3;1;1
Paratrooper DECOY;decoy;NO;9;2;1

[UNIDADES_EJE]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
1st Line;squad;NO;20;10;1
PzVG;vehicle;NO;3;3;1

[UNIDADES_NEUTRALES]
Tipo;Fichas_escenario;Turno_entrada;Prof;Acc
Foxholes;2;1;0;0

[MAPA]
Coordenada;Terreno;Elevacion;Upper_Level;Fortificacion;Lado_NE;Lado_E;Lado_SE;Lado_SW;Lado_W;Lado_NW;Col;Row
5B9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;1
5D9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;2
5F9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;3
5H9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;4
5A9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;0
5C9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;1
5E9;RIO / CANAL;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;2
5G9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;3
5I9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;4
5B8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;1
5D8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;2
5F8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;3
5H8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;4
5A8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;0
5C8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;1
5E8;RIO / CANAL;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;2
5G8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;3
5I8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;4
5B7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;1
5D7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;2
5F7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;3
5H7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;4
5A7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;0
5C7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;1
5E7;RIO / CANAL;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;2
5G7;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;3
5I7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;4
5B6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;1
5D6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;2
5F6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;3
5H6;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;4
5A6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;0
5C6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;7;1
