Tabla 1
Tipo de unidad;Número de fichas;Potencia de fuego;Potencia eficiente;Potencia en melee;Alcance;SATW;Baja reducción;Baja de elimin.;Moral    alta;Moral   media;Moral   baja;Blindaje frontal;Blindaje lat/trasero;Mov. vehículos;Eficacia
American Infantry;;;;;;;;;;;;;;;
Paratrooper Squad;3;6;5;;5;;4;8;10;6;2;;;;
Paratrooper Squad (Reducida);3;6;5;;4;;5;;9;6;2;;;;
Paratrooper w/ Bazooka;2;6;5;;5;2;4;8;10;6;2;;;;
Paratrooper w/ Bazooka (Reducida);2;6;5;;4;2;5;;9;6;2;;;;
Paratrooper MG;1;8;7;2;14;;4;8;10;6;2;;;;
Paratrooper MG (Reducida);1;7;5;1;12;;4;;9;6;2;;;;
Paratrooper Mortar;1;8;6;2;>1;;4;8;10;6;2;;;;
Paratrooper Mortar (Reducida);1;6;3;1;>1;;4;;9;6;2;;;;
Mortar WT;2;8;6;2;>1;;4;7;10;6;2;;;;
Mortar WT (Reducida);2;6;3;1;>1;;4;;9;6;2;;;;
Second Line Squad;2;4;1;5;5;;3;7;10;5;1;;;;
Second Line Squad (Reducida);2;4;1;5;4;;3;;7;5;1;;;;
Paratrooper DECOY;7;6;5;;5;;4;8;10;6;2;;;;
Paratrooper DECOY (Reducida);7;6;5;;4;;5;;9;6;2;;;;
American Veh & Guns;;;;;;;;;;;;;;;
57mm AT Gun;2;10;4;;;;6;3;10;6;2;;;;8
M26;2;17;11;;;;;;;;;12;6;11;8
German Infantry;;;;;;;;;;;;;;;
1st Line;18;5;3;;6;3;4;7;10;5;1;;;;
1st Line (Reducida);18;4;2;;5;3;4;;8;5;1;;;;
1st Line MG WT;4;8;7;2;14;;4;7;10;6;2;;;;
1st Line MG WT (Reducida);4;7;5;1;12;;4;;9;6;2;;;;
Mortar WT;2;6;4;2;2-12;;4;7;10;6;2;;;;
Mortar WT (Reducida);2;5;2;1;2-12;;4;;9;6;2;;;;
Panzer Grenadier;3;6;5;;6;2;4;7;10;6;1;;;;
Panzer Grenadier (Reducida);3;6;4;;6;3;4;;9;5;1;;;;
1st Line DECOY;8;5;3;;6;3;4;7;10;5;1;;;;
1st Line DECOY (Reducida);8;4;2;;5;3;4;;8;5;1;;;;
SS Infantry;;;;;;;;;;;;;;;
Quality SS 44+;18;7;6;6;5;2;4;8;10;6;2;;;;
Quality SS 44+ (Reducida);18;6;5;;5;3;4;;9;6;2;;;;
Quality SS <44;18;6;5;;6;2;4;7;10;6;2;;;;
Quality SS <44 (Reducida);18;6;4;;6;3;4;;9;6;2;;;;
Quality SS 44+ w/ Pzshrk;5;7;6;6;5;2;4;8;10;6;2;;;;
Quality SS 44+ w/ Pzshrk (Reducida);5;6;5;;5;3;4;;9;6;2;;;;
Quality SS MG WT;5;8;7;2;14;;4;8;10;6;2;;;;
Quality SS MG WT (Reducida);5;7;5;1;12;;4;;9;6;2;;;;
Quality SS DECOY;8;6;5;;6;2;4;8;10;6;2;;;;
Quality SS DECOY (Reducida);8;6;5;;6;3;4;;9;6;2;;;;
German Veh. & Guns;;;;;;;;;;;;;;;
PzIIIJ;2;10;9;;;;;;;;;4;2;12;9
PzIIIN;1;7;10;;;;;;;;;4;2;12;8
PzIVH;2;13;10;;;;;;;;;6;3;12;8
PzVIE;2;15;11;;;;;;;;;9;6;11;9
Stug IIIB;4;7;8;;;;;;;;;4;2;13;7
Stug IIIG;2;13;8;;;;;;;;;6;3;12;7
Ferdinand (Pzjgr Tiger);;;;;;;;;;;;;;;
T34M43 (captured);2;9;9;;;;;;;;;8;4;15;6
SPW 251/1;10;;;;;;;;;;;1;1;14;
Stuka JU87;2;7;11;;;;;;;;;;;;6
Stuka JU87G;1;8;1;;;;;;;;;;;;6
Russian Infantry;;;;;;;;;;;;;;;
Early War;24;4;1;;4;;3;6;10;5;1;;;;
Early War (Reducida);24;4;0;;4;;3;;7;4;1;;;;
Type A Late War;18;4;1;;4;;3;7;10;5;1;;;;
Type A Late War (Reducida);18;4;1;;4;;3;;8;5;1;;;;
Type B Late War;18;5;2;;5;;3;7;10;5;1;;;;
Type B Late War (Reducida);18;4;1;;5;;3;;8;5;1;;;;
Submachine Gun;6;6;4;;2;;4;7;10;6;1;;;;
Submachine Gun (Reducida);6;5;3;;2;;4;;8;5;1;;;;
MG First Line;4;7;5;2;12;;4;7;10;6;2;;;;
MG First Line (Reducida);4;6;4;1;10;;4;;8;6;2;;;;
(1942) ATR;3;3;1;;4;1;3;7;10;5;1;;;;
(1942) ATR (Reducida);3;3;0;;4;2;3;;8;5;1;;;;
Russian 50mm Mortar WT;2;6;3;2;2-20;;4;7;10;6;2;;;;
Russian 50mm Mortar WT (Reducida);2;5;2;1;2-20;;4;;8;6;2;;;;
Early War DECOY;7;4;1;;4;;3;6;10;5;1;;;;
Early War DECOY (Reducida);7;4;0;;4;;3;;7;4;1;;;;
Russian Veh & Guns;;;;;;;;;;;;;;;
T34M43;4;9;9;;;;;;;;;8;4;15;6
T34/85;;;;;;;;;;;;;;;
SU85;2;13;9;;;;;;;;;8;4;15;5
SU122;2;9;11;;;;;;;;;7;4;15;5
Russian SU152;3;15;12;;;;;;;;;7;5;12;6
M3 Light (Stuart III);1;7;8;;;;;;;;;3;2;17;6
M3 Medium (Lee);2;10;11;;;;;;;;;5;3;12;6
KV2;2;14;12;;;;;;;;;7;6;8;5
T26S;4;7;8;;;;;;;;;2;1;10;5
BT7;5;7;8;;;;;;;;;1;1;20;5
T70;3;7;7;;;;;;;;;4;3;13;5
45MM;1;7;6;;;;6;3;10;6;2;;;;8
76MM;2;9;8;;;;6;3;10;6;2;;;;8
Anti-Tank Dog;4;5;0 (Art);;;;;;;;;;;2;7
Neutral Counters;;;;;;;;;;;;;;;
Artillery 100mm;2;;;;;;;;;;;;;;
Artillery 150mm;1;;;;;;;;;;;;;;
Pillbox/Fortified;7;;;;;;;;;;;;;;
Dug In / Terrain Change;4;;;;;;;;;;;;;;
