Tabla 1
Tipo de unidad;Número de fichas;Potencia de fuego;Potencia eficiente;Potencia en melee;Alcance;SATW;Baja reducción;Baja de elimin.;Moral    alta;Moral   media;Moral   baja;Blindaje frontal;Blindaje lat/trasero;Mov. vehículos;Eficacia;
American Infantry;;;;;;;;;;;;;;;;
Elite Squad;14;5;4;6;5;;4;8;10;6;2;;;;;
Elite Squad (Reducida);14;5;4;6;4;;4;;9;6;2;;;;;
First Line;18;5;3;6;5;;4;7;10;5;1;;;;;
First Line (Reducida);18;4;2;5;4;;4;;8;5;1;;;;;
First Line w/ Bazooka;4;5;3;6;5;3;4;7;10;5;1;;;;;
First Line w/ Bazooka (Reducida);4;4;2;5;4;3;4;;8;5;1;;;;;
MG WT;4;7;6;2;14;;4;7;10;6;2;;;;;
MG WT (Reducida);4;7;5;1;12;;4;;9;6;2;;;;;
Mortar WT;2;8;6;2;>1;;4;7;10;6;2;;;;;
Mortar WT (Reducida);2;6;3;1;>1;;4;;9;6;2;;;;;
Second Line Squad;8;4;1;5;5;;3;7;10;5;1;;;;;
Second Line Squad (Reducida);8;4;1;5;4;;3;;7;5;1;;;;;
First Line DECOY;7;5;3;6;5;;4;7;10;5;1;;;;;
First Line DECOY (Reducida);7;4;2;5;4;;4;;8;5;1;;;;;
American Veh & Guns;;;;;;;;;;;;;;;;
M10 Tank Destroyer;3;13;9;;;;;;;;;6;2;14;9;
37mm AT Gun;3;7;5;;;;6;3;10;6;2;;;;8;
105mm Gun;2;9;12;;;;5;2;10;6;2;;;;7;
M3 Halftrack;4;;;;;;;;;;;1;1;17;;
M3 Gun Motor Carriage;2;10;8;;;;;;;;;1;1;17;7;
German Infantry;;;;;;;;;;;;;;;;
1st Line w/ Pzshrk;4;5;3;;6;3;4;7;10;5;1;;;;;
1st Line w/ Pzshrk (Reducida);4;4;2;;5;3;4;;8;5;1;;;;;
German Veh. & Guns;;;;;;;;;;;;;;;;
Hetzer (JgPz38-Troublemaker);3;13;8;;;;;;;;;10;2;12;7;
Nashorn (PzJg III/IV-Rhino);3;19;8;;;;;;;;;2;1;12;9;
SPW 251/10;1;6;5;;;;;;;;;1;1;15;7;
Neutral Counters;;;;;;;;;;;;;;;;
Pillbox/Fortified;8;;;;;;;;;;;;;;;
