Tabla 1
Tipo de unidad;Número de fichas;Potencia de fuego;Potencia eficiente;Potencia en melee;Alcance;SATW;Baja reducción;Baja de elimin.;Moral    alta;Moral   media;Moral   baja;Blindaje frontal;Blindaje lat/trasero;Mov. vehículos;Eficacia
American Infantry;;;;;;;;;;;;;;;
Paratrooper Squad;16;6;5;;5;;4;8;10;6;2;;;;
Paratrooper Squad (Reducida);16;6;5;;4;;5;;9;6;2;;;;
Paratrooper w/ Bazooka;5;6;5;;5;2;4;8;10;6;2;;;;
Paratrooper w/ Bazooka (Reducida);5;6;5;;4;2;5;;9;6;2;;;;
Paratrooper MG;3;8;7;2;14;;4;8;10;6;2;;;;
Paratrooper MG (Reducida);3;7;5;1;12;;4;;9;6;2;;;;
Paratrooper Mortar;3;8;6;2;>1;;4;8;10;6;2;;;;
Paratrooper Mortar (Reducida);3;6;3;1;>1;;4;;9;6;2;;;;
Paratrooper DECOY;9;6;5;;5;;4;8;10;6;2;;;;
Paratrooper DECOY (Reducida);9;6;5;;4;;5;;9;6;2;;;;
American Veh & Guns;;;;;;;;;;;;;;;
M4A1;3;10;10;;;;;;;;;7;4;12;8
M4A3 (76);6;13;10;;;;;;;;;7;4;14;8
M4A3 (105);2;9;12;;;;;;;;;7;4;14;7
M18 Tank Destroyer;4;13;9;;;;;;;;;2;1;22;9
M36 Tank Destroyer;2;16;9;;;;;;;;;6;2;14;9
57mm AT Gun;4;10;4;;;;6;3;10;6;2;;;;8
German Infantry;;;;;;;;;;;;;;;
1st Line;20;5;3;;6;3;4;7;10;5;1;;;;
1st Line (Reducida);20;4;2;;5;3;4;;8;5;1;;;;
1st Line MG WT;3;8;7;2;14;;4;7;10;6;2;;;;
1st Line MG WT (Reducida);3;7;5;1;12;;4;;9;6;2;;;;
Mortar WT;1;6;4;2;2-12;;4;7;10;6;2;;;;
Mortar WT (Reducida);1;5;2;1;2-12;;4;;9;6;2;;;;
2nd Line;10;4;1;;6;4;3;7;10;5;1;;;;
2nd Line (Reducida);10;4;1;;5;4;3;;8;5;1;;;;
2nd Line MG WT;3;7;5;2;12;;4;7;10;6;2;;;;
2nd Line MG WT (Reducida);3;7;5;1;10;;4;;9;6;2;;;;
1st Line DECOY;8;5;3;;6;3;4;7;10;5;1;;;;
1st Line DECOY (Reducida);8;4;2;;5;3;4;;8;5;1;;;;
German Veh. & Guns;;;;;;;;;;;;;;;
PzIIIN;2;7;10;;;;;;;;;4;2;12;8
Marder IIIH;2;13;9;;;;;;;;;2;1;13;9
PzIVH;5;13;10;;;;;;;;;6;3;12;8
PzVG;3;16;10;;;;;;;;;12;4;14;8
PzVIE;4;15;11;;;;;;;;;9;6;11;9
Stug IIIG;4;13;8;;;;;;;;;6;3;12;7
M4A1 (captured);1;10;10;;;;;;;;;7;4;12;6
M4A3(76) (captured);1;13;10;;;;;;;;;7;4;14;6
20mm;2;5;9;;;;6;3;10;6;2;;;;9
88mm AA;3;15;10;;;;5;2;10;6;2;;;;9
Stuka JU87G;2;8;1;;;;;;;;;;;;6
Russian Veh & Guns;;;;;;;;;;;;;;;
T34M43;2;9;9;;;;;;;;;8;4;15;6
T34/85;;;;;;;;;;;;;;;
SU76M;2;9;8;;;;;;;;;2;1;15;6
SU122;2;9;11;;;;;;;;;7;4;15;5
Churchill IV;4;10;7;;;;;;;;;7;6;8;7
Neutral Counters;;;;;;;;;;;;;;;
Foxholes;29;;;;;;;;;;;;;;
Victory Marker;3;;;;;;;;;;;;;;
Artillery 80mm;2;;;;;;;;;;;;;;
Artillery 100mm;2;;;;;;;;;;;;;;
Artillery 120mm;2;;;;;;;;;;;;;;
Artillery 150mm;1;;;;;;;;;;;;;;
